,lat,long,name,location,rating
118,45.3912387,-75.7560125,Baker Street Cafe,William Baker,4.6
119,43.4608324,-80.5226669,Red House,William Baker,4.5
120,43.5477458,-80.2522789,Baker Street Station,William Baker,4.6
121,43.6814669,-79.4260741,Baker and Scone,William Baker,4.6
122,43.705753,-79.3129404,Jawny Bakers Restaurant,William Baker,4.2
123,43.6557832,-79.3819379,JOEY Eaton Centre,William Baker,4.2
124,43.6514635,-79.3794701,Richmond Station,William Baker,4.7
125,43.0912922,-79.0728416,Fallsview Buffet Restaurant,William Baker,3.6
126,43.4796615,-80.4842772,The Lancaster Smokehouse,William Baker,4.6
127,43.6485798,-79.3938789,Ricarda's Toronto,William Baker,4.3
128,43.6538059,-79.4014765,Grey Gardens,William Baker,4.6
129,43.262644,-79.866416,Green Bar,William Baker,4.4
130,45.1377058,-76.14288,The Good Food Company,William Baker,4.5
131,43.4478962,-79.6656055,Ricarda's Oakville,William Baker,4.3
132,43.6426781,-79.3869975,360 The Restaurant at the CN Tower,William Baker,4.1
133,45.3995933,-75.6844249,JOEY Lansdowne,William Baker,4.4
134,43.7339894,-79.3445733,JOEY Don mills,William Baker,4
135,43.8675853,-79.2890312,JOEY Markville,William Baker,4.2
136,45.4265141,-75.6905459,JOEY Rideau,William Baker,4.3
137,43.6129091,-79.5564469,JOEY Sherway,William Baker,4.2
138,43.7327428,-79.4831309,Downsview Restaurant,Downsview,4.5
139,43.7271331,-79.4824711,Best Istanbul Restaurant,Downsview,4.3
140,43.7265871,-79.4835775,Hung Long Restaurant,Downsview,4.3
141,43.7307281,-79.4678245,La Traviata,Downsview,4.5
142,43.7257886,-79.482373,Euro Shawarma,Downsview,4.5
143,43.7301765,-79.469739,Maya,Downsview,4.5
144,43.7304947,-79.4663378,Chef 47,Downsview,4.7
145,43.7316081,-79.4587942,CHITO's Pizza and Mediterranean Restaurant,Downsview,4.5
146,43.7305266,-79.4688145,Mastros,Downsview,4.3
147,43.7198429,-79.5121734,La Guanaquita,Downsview,4.2
148,43.7309422,-79.4668097,Buzz Buzz Pizza,Downsview,4.6
149,43.7284241,-79.4799473,Peter G's Bar And Grill,Downsview,4.4
150,43.731212,-79.4652377,La Rosa Chilena,Downsview,4.2
151,43.7231236,-79.5095726,Pizza Nova,Downsview,4.3
152,43.7265166,-79.4803756,Get & Go Burrito,Downsview,4.3
153,43.7271959,-79.4824978,Costa Verde B.B.Q. Chicken Inc.,Downsview,4.3
154,43.7193882,-79.5119328,Pho con Bo,Downsview,4.3
155,43.7505694,-79.7264123,Sahib Jee Cuisine,North Park,4
156,43.7340169,-79.7446888,Mackay Pizza,North Park,4.2
157,43.1672989,-80.2656395,Lookout Sports Lounge,North Park,2.8
158,43.736098,-79.307905,Jatujak : Thai Street Style Food,North Park,4.4
159,43.7871139,-79.3290842,Aoyama,North Park,4.4
160,43.458591,-80.484108,PUBLIC Kitchen & Bar,North Park,4.6
161,43.7295857,-79.7493495,Popular Pizza,North Park,3.4
162,43.7093346,-79.3986467,Grazie Ristorante,North Park,4.4
163,44.539111,-79.20851,Lanterna Ristorante North,North Park,4.9
164,43.7102105,-79.3989116,La Vecchia Restaurant,North Park,4.3
165,43.7492738,-79.7278501,Golden Palace Restaurant,North Park,3.7
166,43.714021,-79.3349663,Osaka Sushi ???????,North Park,4.1
167,45.3744524,-80.2989232,Gilly's Snug Harbour Restaurant & Marine,North Park,4.6
168,43.728489,-79.431551,Milk ‘N Honey,North Park,4.6
169,43.735238,-79.420083,Issmi Japanese Restaurant,North Park,4.4
170,43.7309565,-79.3057989,Armenian Kitchen Restaurant,North Park,4.4
171,43.7288847,-79.4029127,Trio Ristorante,North Park,4.2
172,43.7292052,-79.4318609,Tov-Li South,North Park,4.2
173,46.2580261,-79.386391,Beef n' Brand,North Park,4.1
174,43.7303917,-79.4667736,La Pupusa Loka,Winston Park,3.9
175,43.5089643,-79.6664146,Bâton Rouge Steakhouse & Bar,Winston Park,4.3
176,43.5101679,-79.6666057,Scaddabush Italian Kitchen & Bar,Winston Park,4
177,43.5105155,-79.6692869,Trattoria Timone Ristorante,Winston Park,4.3
178,43.5108202,-79.6680233,K&B Sushi,Winston Park,3.9
179,43.5106782,-79.667695,East Side Mario's Oakville (Winston Park),Winston Park,3.5
180,43.7075529,-79.4430345,Pizza Nova,Winston Park,4
181,43.5169054,-79.6872131,Chipotle Mexican Grill,Winston Park,4.1
182,43.5106551,-79.6688024,Souvlaki Hut,Winston Park,3.8
183,43.726964,-79.480364,Swiss Chalet Rotisserie & Grill,Winston Park,3.8
184,43.4991677,-79.6502461,Chef's Door,Winston Park,4.3
185,43.5244646,-79.6846305,Burrito Boyz,Winston Park,4.1
186,43.7325824,-79.4583675,FRESHII X SHELL,Winston Park,0
187,43.7315655,-79.4190574,Freshii,Winston Park,4.2
188,43.7208577,-79.456691,Pizza Nova,Winston Park,4
189,43.5093909,-79.6684809,Wild Wing,Winston Park,3.5
190,43.7168319,-79.4567789,Swiss Chalet Rotisserie & Grill,Winston Park,3.7
191,43.7103238,-79.3625921,Sunset Grill,Winston Park,4.3
192,42.8814164,-79.904111,Fisherville Hotel & Tavern,Fishervill,4.5
193,42.9018244,-79.9929112,Jay's Motel and Restaurant,Fishervill,4.5
194,43.6764973,-79.7192115,Caravan Kabob House,Streeles Corners,4.4
195,43.7150006,-79.6781806,MexiCados Burritos & Bowls Brampton,Streeles Corners,4.6
196,43.7490971,-79.6975926,Food Fight BBQ,Streeles Corners,4.4
197,43.7491313,-79.6985739,Ital Sandwiches,Streeles Corners,4.5
198,43.7194782,-79.6372034,Biryani & snacks corner,Streeles Corners,4.2
199,43.6940823,-79.7017281,Wally's On Steeles,Streeles Corners,4.1
200,43.757289,-79.702815,Nancy Trattoria Restaurant,Streeles Corners,4.9
201,43.7481857,-79.6982112,Onyxx Sports Bar & Grill,Streeles Corners,4.3
202,43.7477129,-79.6989112,Pho 123,Streeles Corners,3.9
203,43.7847739,-79.6258811,Sunset Grill,Streeles Corners,4
204,43.726828,-79.666284,Arooba Burgers & Cafe,Streeles Corners,4.6
205,43.6886636,-79.7409322,Yarl Dosa Corner Restaurant,Streeles Corners,4.1
206,43.7102377,-79.6853123,"G T Restaurant & Bar - Caribbean, Guyanese Style Food",Streeles Corners,4.3
207,43.6636721,-79.7323009,GET GRILL,Streeles Corners,4.5
208,43.640789,-79.7955368,Terrace On The Green,Streeles Corners,4.4
209,43.7111511,-79.6817673,Shawarma Falafel & Bakery,Streeles Corners,4.7
210,43.6788191,-79.7201156,Boston Pizza,Streeles Corners,3.8
211,43.7240011,-79.6937533,Fusion Halal Cuisine,Streeles Corners,4.6
212,43.6444584,-79.7565323,Osmow's,Streeles Corners,4.1
213,43.7354017,-79.6506948,Alima's Roti and Pastry,Streeles Corners,4.5
