,lat,long,name,location,rating
112,43.4575781,-80.4867447,LA Fitness,North Park,3.4
113,43.7075047,-79.3953538,GoodLife Fitness Toronto Dunfield,North Park,4.1
114,43.7081243,-79.5331978,GoodLife Fitness North York Weston and 401,North Park,3.2
115,43.71766,-79.40043,Anytime Fitness,North Park,3.8
116,43.029698,-81.277147,GoodLife Fitness London Masonville,North Park,3.5
117,45.3428436,-79.2264308,Muskoka Hot Yoga,North Park,5
118,43.182053,-80.2487725,Art In Motion Ballroom Latin,North Park,4.8
119,43.7065835,-79.4431077,Strolf Fitness - South,North Park,5
120,43.6300894,-80.0418057,Staying Alive Fitness,North Park,5
121,43.70753,-79.3953563,The Dunfield Club,North Park,4
122,42.947898,-78.854788,Pole Play Inc,North Park,4.9
123,43.7337946,-79.4198718,Curves International,Winston Park,3.5
124,43.5245517,-79.6831336,Anytime Fitness,Winston Park,4.1
125,43.7041295,-79.4114026,Oxygen Yoga and Fitness Midtown,Winston Park,4.4
126,43.7626454,-79.4105307,LA Fitness North York,Winston Park,4.1
127,43.6675947,-79.4641529,LA Fitness Keele,Winston Park,4
128,43.6233729,-79.482873,Orangetheory Fitness,Winston Park,4.4
129,43.7477577,-79.3472715,LA Fitness,Winston Park,4
130,43.8235524,-79.4248602,Jazzercise Thornhill Fitness Studio,Winston Park,0
131,43.6730901,-79.4681435,Anytime Fitness Toronto Stockyards,Winston Park,4.1
132,43.8487858,-79.4618638,LA Fitness,Winston Park,3.4
133,43.7072196,-79.394964,Orangetheory Fitness,Winston Park,4.7
134,43.7052388,-79.3752982,9Round Fitness,Winston Park,5
135,43.8097134,-79.4515772,Anytime Fitness,Winston Park,4.7
136,43.7237024,-79.2892507,La fitnes,Winston Park,5
137,43.6483323,-79.4862858,Orangetheory Fitness,Winston Park,4.1
138,42.8704143,-79.8530842,Toronto motorsports park cayuga,Fishervill,0
139,42.85242,-79.929247,Zaandi Yoga Studio,Fishervill,0
140,42.9498109,-79.8585754,Rebound Ladies Fitness,Fishervill,0
141,43.0087777,-80.0616599,Leroy Jamieson Fitness Center,Fishervill,0
142,43.0051002,-79.8695855,Lielupe,Fishervill,0
143,43.0004182,-80.095052,MNCFN Fitness Centre,Fishervill,0
144,43.0430478,-79.9794421,K9 Fun Zone,Fishervill,4.7
145,43.01011,-80.0907802,TREKFIT - Outdoor fitness,Fishervill,0
146,43.0405244,-80.0357589,Warrior Park Athletics,Fishervill,0
147,42.9773167,-79.9823223,590 YOGA,Fishervill,0
148,42.8923508,-79.7737739,Y Knot Unwind Yoga,Fishervill,0
149,43.6964177,-79.8009933,GoodLife Fitness Brampton McLaughlin Corners,Streeles Corners,3.9
150,44.4367233,-81.3827185,Fitness Corner - Port Elgin Ontario,Streeles Corners,4.2
151,44.4769601,-81.3749152,Fitness Corner South - Southampton Ontario,Streeles Corners,3.5
152,43.823935,-79.301404,Planet Fitness,Streeles Corners,4
153,46.4501415,-81.0031015,GoodLife Fitness Sudbury Southridge Mall,Streeles Corners,3.5
154,43.8206032,-79.3491959,Mayfair Clubs - Toronto Parkway,Streeles Corners,4.3
155,45.3293982,-75.8225118,LiquidGym Rehab & Training Centre,Streeles Corners,4.8
156,43.8120425,-79.3050292,L'Amoreaux Community Recreation Centre,Streeles Corners,4.2
157,43.558101,-79.644732,Planet Fitness,Streeles Corners,4.1
158,45.420962,-75.7002693,GoodLife Fitness Ottawa Queen Street,Streeles Corners,3.9
159,43.7601515,-79.2285457,Fit4Less,Streeles Corners,4
160,44.185252,-77.404003,Planet Fitness,Streeles Corners,4.2
161,43.6533664,-79.339068,Mayfair Clubs,Streeles Corners,4.5
162,43.6510717,-79.3785252,GoodLife Fitness Toronto 137 Yonge Street,Streeles Corners,4
163,43.4799954,-80.5203205,GoodLife Fitness Waterloo Weber Street,Streeles Corners,4.4
