,Codes,lat,long,commute_time,commute_time_min
181,M3J 2P9,43.7754788,-79.4851529,2 mins,2
182,M3J 2X7,43.781459,-79.4890194,3 mins,3
183,M3J 2P5,43.7782396,-79.4862074,3 mins,3
184,L4K 2Y7,43.7829031,-79.4918312,4 mins,4
185,M3J 1P2,43.7638,-79.4916555,6 mins,6
186,M3J 2G7,43.7609644,-79.4993877,6 mins,6
187,M3J 3K2,43.7649528,-79.4897223,6 mins,6
188,M3N 2R6,43.7613155,-79.5095792,9 mins,9
189,M3J 1K5,43.7613286,-79.4969275,8 mins,8
190,M3N 2L2,43.7690633,-79.5213507,8 mins,8
191,M3J 2G8,43.7600407,-79.5021993,7 mins,7
192,M3N 2L3,43.7690633,-79.5213507,8 mins,8
193,M3N 2R7,43.7622343,-79.511512,9 mins,9
194,M3N 2W4,43.7704114,-79.5215264,6 mins,6
195,M3N 1P2,43.7632468,-79.5176613,9 mins,9
196,M3J 3G9,43.782215,-79.4891951,3 mins,3
197,M3J 1V3,43.7604375,-79.5000906,7 mins,7
198,M3N 2L4,43.7710357,-79.5218778,8 mins,8
199,L4K 3C9,43.7845452,-79.4935886,4 mins,4
200,M3J 1K4,43.7609675,-79.4962246,8 mins,8
201,M3N 2H2,43.772252,-79.5222291,7 mins,7
202,M3N 2H3,43.7721871,-79.5215264,8 mins,8
203,M3N 2K5,43.7684724,-79.5205602,8 mins,8
204,M3J 1V4,43.7600764,-79.4993877,7 mins,7
205,M3N 1P3,43.7639381,-79.5171342,9 mins,9
206,M3N 2R5,43.7601332,-79.5079979,9 mins,9
207,M3J 2V4,43.7790608,-79.4870861,3 mins,3
208,L4K 2Z5,43.7822774,-79.4930614,3 mins,3
209,M3J 1K1,43.7613641,-79.4941158,6 mins,6
210,L4K 3E1,43.7838897,-79.491304,3 mins,3
211,L4K 2V1,43.7833658,-79.4888436,3 mins,3
212,M3J 1K2,43.761908,-79.4927978,6 mins,6
213,M3N 2W5,43.7738634,-79.5220535,6 mins,6
214,M3J 2S4,43.7811984,-79.4862074,3 mins,3
215,M3J 2R1,43.781068,-79.4848014,4 mins,4
216,M3J 1R9,43.7601771,-79.497279,7 mins,7
217,M3J 1K3,43.7623201,-79.4916555,6 mins,6
218,M3J 1T9,43.7576416,-79.5002664,7 mins,7
219,M3J 3K6,43.7644769,-79.48858,5 mins,5
220,M3N 1S7,43.7683397,-79.5215264,7 mins,7
221,M3N 2W3,43.7701803,-79.5222291,8 mins,8
222,M3N 3A5,43.759412,-79.5058015,8 mins,8
223,M3J 1J8,43.7614803,-79.4929735,7 mins,7
224,M3N 2K6,43.7666307,-79.520648,7 mins,7
225,M3J 2G5,43.763572,-79.4891951,6 mins,6
226,M3J 2G6,43.7634559,-79.4903374,5 mins,5
227,M3J 2P1,43.7835026,-79.4823408,5 mins,5
228,M3N 2Y5,43.7597705,-79.5088764,8 mins,8
229,M3J 3J7,43.7661394,-79.4865589,5 mins,5
230,M3J 0K8,43.7679803,-79.4872619,5 mins,5
231,M3J 1R8,43.7600299,-79.4964882,8 mins,8
232,M3N 1N5,43.7609835,-79.5123905,10 mins,10
233,M3N 2H1,43.7699798,-79.5248643,8 mins,8
234,M3N 2N7,43.763051,-79.5163436,9 mins,9
235,M3N 2X7,43.7735331,-79.5232832,7 mins,7
236,M3N 2G9,43.7674517,-79.5215264,9 mins,9
237,M3N 1N9,43.7621964,-79.5159044,9 mins,9
238,M4G 0A3,43.7031513,-79.3612519,32 mins,32
239,L4K 1Z8,43.7873026,-79.4978062,4 mins,4
240,L4K 5W5,43.7879622,-79.495346,4 mins,4
241,M3N 2Z5,43.7697192,-79.522844,8 mins,8
242,M3N 2K3,43.7652519,-79.5185398,7 mins,7
243,M3N 2G4,43.7727112,-79.5231954,7 mins,7
244,M3N 1N6,43.759998,-79.5113363,9 mins,9
245,M3N 1M6,43.7588191,-79.5065922,8 mins,8
246,M2R 3G4,43.7867778,-79.4459517,11 mins,11
247,M3J 1J7,43.7612509,-79.4920948,7 mins,7
248,M3N 2K4,43.76525,-79.5201209,7 mins,7
249,M3J 1J9,43.7605094,-79.4936765,6 mins,6
250,M3J 1J3,43.7592891,-79.497279,8 mins,8
251,L4K 3E2,43.7844488,-79.4909525,3 mins,3
252,M3J 3K3,43.764164,-79.4891951,6 mins,6
253,L4K 3G1,43.7843511,-79.4898981,3 mins,3
254,M3N 1N8,43.7618021,-79.5156409,9 mins,9
255,L4K 4S3,43.7803227,-79.5087007,6 mins,6
256,M3N 2R2,43.760128,-79.5127419,10 mins,10
257,M3N 2T8,43.7744858,-79.5239859,6 mins,6
258,L4K 4N5,43.7803227,-79.5087007,6 mins,6
259,M3N 2N5,43.7626806,-79.5167389,9 mins,9
260,L4K 3R1,43.7754061,-79.5243373,6 mins,6
261,L4K 3E8,43.7842208,-79.4884921,4 mins,4
262,M3N 2W2,43.7691932,-79.5227562,8 mins,8
263,M3N 1N3,43.7593085,-79.510282,9 mins,9
264,M3J 1V1,43.7585638,-79.4990363,7 mins,7
265,L4K 3E5,43.7856349,-79.4877891,4 mins,4
266,L4K 3E4,43.7857964,-79.4911283,4 mins,4
